이름,검색어,일차,메모
마쓰야마 공항,松山空港,1일차,1층 인포메이션에서 한국 여권 제시 → 무료 셔틀 쿠폰 + 쿠폰북
마쓰야마시역,松山市駅,1일차,무료 셔틀·리무진버스 정류장. 다카시마야 백화점 바로 위
도고온천 본관,道後温泉本館,1일차,셔틀 종점 부근. 첫날 숙소 후보 지역
토요타 렌터카 마쓰야마점,トヨタレンタカー 松山店 宮田町,2일차,20시 마감. 픽업·반납 추천 영업소
오릭스 렌터카 마쓰야마역앞점,オリックスレンタカー 松山駅前店,2일차,19시 마감. 요금 저렴
마쓰야마성 로프웨이 승강장,松山城ロープウェイ 東雲口駅舎,시내,유모차 접어서 탑승 가능
오카이도 상점가,大街道商店街,시내,지붕 있는 아케이드. 점심과 백화점 수유실
나베야키 우동 ことり,鍋焼きうどん ことり 松山,시내,달달한 국물. 아기와 나눠 먹기 좋음
도고온천 별관 아스카노유,道後温泉別館 飛鳥乃湯泉,시내,가족 전세탕(貸切) 예약제
다카노코노유,たかのこの湯,시내,가족탕 있는 슈퍼센토. 대안
미쓰노와타시 나룻배,三津の渡し,소도시,무료 2분. 유모차 탑승 가능
미치노에키 후타미,道の駅 ふたみ,소도시,기저귀 교환대. 시모나다역 만차 시 예비 주차장
시모나다역,下灘駅,소도시,바다 앞 무인역. 10월 중순 일몰 약 17:30
우치코자,内子座,소도시,100년 된 가부키 극장. 옛거리 입구
미치노에키 우치코 프레시파크 카라리,道の駅 内子フレッシュパークからり,소도시,지역 채소 요리와 아이스크림
오즈성,大洲城,소도시,나무로 복원된 성. 히지카와 강변
가류산소,臥龍山荘,소도시,계단·자갈길 많음. 아기띠 필수
도베야키 전통산업회관,砥部焼伝統産業会館,돌아오는 길,국도 33호변. 시내에서 25분
에미풀 마사키,エミフルMASAKI,돌아오는 길,수유실·아기 놀이공간·기념품. 주차 무료
이요테쓰 다카시마야,いよてつ高島屋,5일차,수유실·기저귀 교환대. 지하 식품관 기념품
